year,Persons,socex_t,Males,Females,gov_party,10_24,25_44,45_64,65_74,75_and_over,sstran
1981,14.7,17.09,19.5,10.6,1,4.8,13.6,18.9,18.8,18.5,13.35
1982,14.4,17.55,19.3,10.2,1,4.5,13.4,18.4,18.9,18.7,14.16
1983,14.0,18.33,19.1,9.6,1,4.5,13.2,17.8,18.2,18.3,14.1
1984,14.0,18.26,19.2,9.5,1,4.6,13.4,17.9,17.4,18.2,14.12
1985,14.7,18.4,20.1,9.8,1,5.3,13.8,18.6,18.9,18.7,14.09
1986,14.2,18.43,20.4,8.9,1,5.9,13.4,17.2,18.2,19.3,14.19
1987,13.4,17.64,19.6,8.2,1,6.7,13.4,16.0,15.8,16.4,13.31
1988,14.4,16.39,21.4,8.3,1,7.7,15.1,15.6,16.3,19.7,12.31
1989,12.7,15.71,19.0,7.2,1,7.0,13.8,14.5,12.7,16.1,11.67
1990,13.2,15.2,20.2,6.9,1,7.4,15.0,14.4,13.8,14.9,10.94
1991,12.8,16.89,19.7,6.6,1,7.2,15.3,14.2,11.4,14.1,12.83
1992,12.9,18.35,19.9,6.6,1,7.4,15.3,14.4,12.2,13.2,14.19
1993,12.5,19.01,19.2,6.4,1,7.6,14.9,13.5,11.1,13.5,14.55
1994,12.1,18.33,18.8,6.1,1,7.1,14.9,12.4,10.7,14.4,14.24
1995,12.1,17.19,18.9,6.0,1,6.8,15.6,12.7,9.7,12.8,13.03
1996,11.6,17.07,18.1,5.8,1,6.5,15.0,11.9,10.3,12.3,12.61
1997,11.4,16.37,17.6,5.8,4,6.9,14.5,12.2,9.3,10.9,12.35
1998,12.4,16.81,19.3,6.0,5,7.4,16.8,12.6,9.8,10.8,11.91
1999,12.2,16.66,19.3,5.8,5,6.6,16.2,12.5,10.2,11.9,11.6
2000,11.9,16.83,18.4,5.9,5,6.8,15.6,12.5,9.5,10.9,11.32
2001,11.5,17.7,17.9,5.5,5,6.0,14.7,12.8,9.1,10.6,11.7
2002,11.2,17.82,17.1,5.6,5,5.6,15.2,12.0,8.9,9.6,11.72
2003,10.9,18.59,16.9,5.5,5,5.4,14.6,12.0,8.3,10.2,11.92
2004,11.1,19.11,16.9,5.8,5,5.2,14.4,12.4,9.1,11.2,12.13
2005,10.7,19.08,16.4,5.5,5,5.0,13.8,12.6,8.1,9.6,11.98
2006,10.4,18.97,16.2,5.0,5,4.7,13.2,12.9,7.8,8.6,11.71
2007,10.0,19.59,15.6,4.7,5,4.7,12.9,11.8,7.7,8.7,11.89
2008,10.5,20.92,16.3,5.0,5,5.1,13.9,12.3,7.8,8.3,12.43
2009,10.3,23.14,16.1,4.9,5,4.8,13.7,12.5,7.2,8.4,14.17
2010,10.2,23.31,15.8,4.9,3,5.0,12.5,12.8,7.3,8.5,14.32
2011,10.9,23.07,16.8,5.3,1,5.3,14.0,13.4,7.7,8.4,14.25
2012,10.7,23.18,16.8,4.9,1,4.9,13.6,13.9,7.2,8.0,14.48
2013,11.1,23.4,17.8,4.8,1,4.8,13.5,14.9,7.8,9.1,14.17
2014,10.8,22.79,16.8,5.2,1,5.1,12.8,14.3,8.3,8.6,13.84
2015,10.9,22.55,16.6,5.4,1,5.5,12.7,14.1,8.5,9.0,13.75
2016,10.4,21.24,16.0,5.0,1,5.5,12.5,13.5,7.5,7.7,13.4
2017,10.1,20.75,15.5,4.9,1,5.1,12.2,13.0,7.4,7.7,12.95
2018,11.2,,17.2,5.4,1,6.2,13.3,14.3,7.8,9.0,
